7.315	4.795	0.42
0.77	3.815	0.42
3.22	8.61	0.42
6.545	2.52	0.42
1.575	4.515	0.42
2.1	5.32	0.42
3.115	2.24	0.42
6.545	7.14	0.42
1.155	10.675	0.42
6.79	7.98	0.42
5.915	7.385	0.42
2.835	0.455	0.42
5.39	4.41	0.42
2.17	4.375	0.42
4.305	5.32	0.42
3.675	2.625	0.42
1.89	6.58	0.385
3.01	10.045	0.42
9.765	4.9	0.42
1.225	8.19	0.42
2.345	10.465	0.42
1.645	8.925	0.385
5.46	2.975	0.42
7.35	2.45	0.42
10.605	5.04	0.42
0.49	2.275	0.42
9.135	4.515	0.42
7.14	10.08	0.455
10.045	7.63	0.42
1.855	10.85	0.42
5.075	3.43	0.42
2.835	7.175	0.42
6.79	1.785	0.42
1.855	0.91	0.42
2.905	3.535	0.42
5.53	6.335	0.42
1.26	2.135	0.42
5.845	2.73	0.42
7.595	3.08	0.42
9.275	7.07	0.455
6.93	6.615	0.42
6.195	3.605	0.42
6.055	5.67	0.42
9.555	6.125	0.42
10.78	6.055	0.42
5.425	10.92	0.42
10.43	2.87	0.42
1.365	9.59	0.42
1.645	7.91	0.42
7.7	6.37	0.42
9.065	7.56	0.42
9.8	7.35	0.42
5.985	8.575	0.42
3.71	0.28	0.42
2.695	1.4	0.42
5.215	5.915	0.42
3.255	1.645	0.42
2.695	1.995	0.42
2.31	7.595	0.42
3.535	10.57	0.42
2.135	2.24	0.42
4.025	10.22	0.42
6.58	10.36	0.42
5.355	7.875	0.42
0.42	6.825	0.42
4.165	1.085	0.42
3.465	0.7	0.42
2.345	4.795	0.42
10.22	7.245	0.42
9.835	6.86	0.42
3.71	3.395	0.42
3.99	6.37	0.42
7	7.49	0.42
8.4	2.73	0.42
8.645	6.79	0.42
7.98	7.455	0.42
1.435	6.825	0.42
5.845	7.665	0.42
9.73	4.025	0.42
4.69	9.03	0.42
4.795	10.57	0.42
10.605	4.2	0.42
4.725	10.99	0.42
7.98	4.69	0.455
4.13	0.63	0.42
4.55	1.785	0.42
6.37	8.12	0.42
5.425	8.75	0.42
8.085	5.32	0.42
1.05	4.76	0.42
8.12	2.345	0.42
5.005	6.475	0.42
6.3	4.69	0.42
5.215	2.135	0.42
0.49	1.33	0.42
3.325	4.13	0.42
4.095	4.305	0.455
7.175	9.17	0.42
9.8	7.98	0.42
3.64	1.19	0.42
1.505	10.395	0.42
6.825	3.325	0.42
3.815	9.555	0.42
8.925	7.245	0.42
7.49	8.54	0.42
2.73	3.115	0.42
3.745	6.79	0.42
2.625	11.025	0.385
6.475	1.54	0.42
5.075	1.575	0.42
6.09	6.615	0.42
1.05	0.63	0.42
2.59	9.345	0.42
8.995	3.675	0.385
3.99	1.505	0.42
0.595	3.045	0.42
4.725	7.315	0.42
2.975	3.885	0.42
2.8	6.475	0.42
0.735	6.055	0.42
1.54	5.6	0.42
3.395	5.46	0.42
4.375	10.745	0.42
