8.575	3.885	0.385
3.675	3.395	0.385
1.19	2.59	0.455
8.26	9.1	0.385
4.06	0.7	0.385
4.9	10.535	0.42
6.44	1.54	0.385
6.475	8.54	0.42
0.875	3.78	0.455
0.91	8.26	0.455
2.94	7.07	0.455
5.705	0.7	0.42
8.365	5.32	0.455
0.84	6.65	0.42
4.585	6.86	0.42
6.615	3.675	0.385
2.765	0.525	0.42
5.705	7.665	0.385
2.835	2.485	0.42
10.045	6.02	0.385
8.995	6.125	0.385
1.33	0.385	0.42
10.045	3.85	0.385
7.42	4.375	0.42
4.97	9.485	0.385
5.005	2.38	0.42
6.475	2.66	0.385
3.5	9.205	0.42
1.12	9.45	0.455
3.85	10.64	0.385
4.445	4.375	0.42
6.965	9.485	0.455
9.31	4.795	0.385
1.61	5.67	0.455
6.65	7	0.455
2.38	9.03	0.385
2.695	10.185	0.455
9.94	1.82	0.42
1.26	10.57	0.455
3.99	5.775	0.42
9.59	7.77	0.42
7.91	6.51	0.42
2.415	4.13	0.455
7.105	5.53	0.42
10.71	7.07	0.42
6.51	10.395	0.385
1.61	1.4	0.385
7.49	1.435	0.385
4.025	2.17	0.42
9.87	2.835	0.455
5.04	8.47	0.385
