4.55	6.825	0.385
5.285	1.085	0.455
6.16	10.605	0.455
7.91	4.55	0.385
3.78	10.885	0.42
5.46	8.155	0.42
3.395	7.56	0.455
6.615	4.795	0.42
2.38	9.03	0.385
3.29	6.37	0.42
1.855	2.485	0.385
7.805	8.575	0.42
10.01	4.76	0.455
6.02	6.23	0.42
3.955	5.425	0.42
2.485	5.67	0.455
6.475	9.24	0.42
1.33	0.42	0.455
6.825	2.94	0.455
1.89	10.745	0.455
6.615	7.035	0.42
5.355	4.83	0.42
4.935	3.465	0.455
1.155	8.085	0.42
9.345	3.605	0.455
8.26	2.73	0.42
8.435	6.93	0.385
4.935	9.065	0.455
10.22	7.105	0.42
0.945	5.04	0.455
3.675	2.975	0.385
2.73	0.525	0.385
1.33	7.035	0.42
7.7	9.66	0.42
2.66	3.465	0.455
4.585	2.52	0.42
0.525	2.45	0.455
2.94	9.87	0.385
1.33	3.43	0.42
4.095	1.015	0.455
10.57	3.325	0.42
8.33	5.46	0.455
2.38	6.93	0.455
1.33	9.1	0.385
10.185	5.915	0.385
3.955	4.13	0.385
3.885	8.75	0.385
6.475	8.19	0.385
7.35	1.295	0.42
6.09	3.745	0.385
4.9	10.5	0.385
